city_width,prob_path
2,0.437285
3,0.276792
4,0.198974
5,0.152431
6,0.121278
7,0.100598
8,0.085323
9,0.073039
10,0.064337
11,0.057082
12,0.050781
13,0.046302
14,0.041705
15,0.03821
16,0.035195
17,0.032426
18,0.030067
19,0.028074
20,0.026369
