"STATION","NAME","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1930-11",,"-9","72","1613","37.2","50.0","24.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1930-12",,"-7","45","2827","25.8","34.4","17.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1931-01","0","-9","56","4023","25.1","36.7","13.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1931-02","0","-1","60","5047","28.4","38.6","18.2"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1931-03","0","14","60","6054","32.5","41.1","24.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1931-04","0","18","80","6669","43.8","59.5","28.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1931-05","14","19","89","7031","53.8","70.8","36.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1931-06","73","31","93","7153","62.9","78.7","47.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1931-07","260","41","98","15","70.7","85.7","55.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1931-08","359","42","93","41","67.4","82.1","52.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1931-09","461","30","94","136","65.2","80.1","50.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1931-10","463","23","83","572","51.0","67.3","34.7"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1931-11","463","22","72","1160","45.4","56.6","34.2"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1931-12","463","9","61","2066","34.7","44.8","24.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1932-01","0","17","67","2915","37.6","46.6","28.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1932-02","0","7","72","3776","30.9","41.8","20.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1932-03","0","-6","70","4872","29.6","41.3","18.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1932-04","0","16","80","5546","42.5","56.4","28.7"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1932-05","10","23","88","5877","54.1","71.3","36.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1932-06","85","29","89","6000","63.4","79.2","47.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1932-07","158","39","91","44","66.1","82.1","50.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1932-08","210","36","94","96","65.0","83.6","46.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1932-09","278","27","98","262","61.5","80.2","42.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1932-10",,,"79",,,"63.7",
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1932-11",,"4","62",,"35.9","47.9","23.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1932-12",,"-14","66",,"27.7","41.3","14.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1933-01","0","-4","65",,"32.9","44.0","21.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1933-02","0","-16","59",,"26.0","40.1","11.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1933-03","0","3","70",,"31.6","42.8","20.5"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1933-04","0","22","78",,"49.4","64.5","34.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1933-05","25","31","86",,"59.2","74.3","44.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1933-06","163","30","98",,"67.1","84.0","50.2"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1933-07","321","41","101","30","69.1","86.9","51.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1933-08","457","39","97","59","68.4","83.6","53.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1933-09","507","33","92","129","64.5","78.7","50.2"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1933-10","507","15","80","583","50.0","67.1","32.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1933-11","507","-2","79","1325","36.9","48.3","25.5"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1933-12","507","-14","62","2311","29.9","42.2","17.7"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1934-01","0","-2","55","3392","29.3","40.3","18.2"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1934-02","0","-30","53","4801","13.1","30.3","-4.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1934-03","0","-25","68","5839","29.3","45.7","12.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1934-04","0","15","77","6336","46.1","62.0","30.2"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1934-05","13","28","92","6554","58.3","77.9","38.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1934-06","193","35","97","6581","70.1","86.5","53.7"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1934-07","414","45","98","5","72.0","88.8","55.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1934-08","502","30","92","79","65.4","81.0","49.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1934-09","560","32","90","172","63.8","79.4","48.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1934-10",,"14",,,,,"30.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1934-11",,"10","67",,"40.0","49.4","30.7"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1934-12",,"-7","67",,"27.6","37.0","18.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1935-01",,"-11",,,,,"12.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1935-02",,"-17","49",,"23.4","34.4","12.5"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1935-03",,"5",,,,,"25.5"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1935-04",,"17","84",,"43.4","56.9","29.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1935-05",,"24","82",,"50.9","66.1","35.7"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1935-06",,"33","88",,"62.7","77.7","47.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1935-07",,"43","95","3","71.3","86.0","56.5"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1935-08",,"34","91","45","67.9","82.1","53.7"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1935-09",,"27","86","260","58.2","72.7","43.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1935-10",,"18","81","827","46.7","63.0","30.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1935-11",,"5","76","1537","39.8","51.4","28.2"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1935-12",,"-13","47","2756","23.0","31.0","15.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1936-01","0","-24","46","4031","19.5","29.6","9.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1936-02","0","-27","49","5337","14.0","28.7","-0.7"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1936-03","0","9","69","6181","36.2","47.6","24.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1936-04","0","14","79","6763","42.2","54.4","29.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1936-05","24","24","91","7005","57.7","75.7","39.7"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1936-06","72","33","90","7096","63.6","80.1","47.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1936-07","199","37","100","42","67.7","85.7","49.7"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1936-08","348","38","94","69","69.0","84.5","53.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1936-09","394","28","91","218","61.6","79.0","44.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1936-10","394","12","77","658","50.5","64.1","36.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1936-11",,,"72",,,"45.4",
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1936-12",,"-10","57",,"29.6","40.1","19.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1937-01","0","11","62",,"32.8","41.5","24.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1937-02","0","-4","58",,"27.6","37.3","17.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1937-03","0","4","53",,"29.6","39.3","19.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1937-04","0","19","76",,"44.0","54.3","33.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1937-05","6","26","90",,"54.5","68.7","40.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1937-06","69","40","90",,"64.8","78.6","51.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1937-07","225","38","92","51","68.4","81.5","55.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1937-08","399","44","92","59","70.3","82.9","57.7"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1937-09","447","27","91","346","57.1","72.1","42.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1937-10","451","19","85","896","46.8","57.9","35.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1937-11",,"5",,,,,"25.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1937-12",,"-12","42",,"24.8","34.1","15.5"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1938-01","0","-3","51",,"25.1","34.6","15.5"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1938-02","0","3","60",,"31.6","43.2","20.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1938-03","0","4","80",,"37.1","49.8","24.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1938-04","0","15","84",,"45.9","59.2","32.7"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1938-05","4","25","83",,"54.5","68.0","41.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1938-06","47","33","86",,"62.5","76.1","48.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1938-07","168","42","90","24","68.1","81.3","54.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1938-08","345","40","96","32","70.5","86.5","54.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1938-09","368","31","87","170","61.2","78.8","43.5"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1938-10","368","22","85","539","53.1","74.9","31.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1938-11",,"4",,,,,"23.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1938-12",,"-1","61",,"31.8","44.1","19.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1939-01","0","-10","56",,"24.7","35.6","13.7"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1939-02","0","-10","52",,"25.7","37.3","14.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1939-03","0","-2","77",,"30.5","40.7","20.2"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1939-04","0","14","81",,"39.8","49.1","30.5"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1939-05","36","20","89",,"58.9","76.5","41.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1939-06","123","38","90",,"64.6","75.9","53.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1939-07","239","37","93","38","67.0","81.6","52.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1939-08",,"44",,,,,"52.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1939-09",,"31","93",,"59.0","71.9","46.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1939-10",,"16","87",,"48.9","64.3","33.5"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1939-11",,"13","70",,"34.6","46.3","22.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1939-12",,"8","60",,"30.7","38.6","22.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1940-01","0","-11","42",,"13.4","22.7","4.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1940-02","0","-10","52",,"22.5","32.4","12.5"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1940-03","0","-5","61",,"26.9","34.8","19.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1940-04","0","20","77",,"42.8","55.3","30.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1940-05","4","25","88",,"52.5","65.5","39.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1940-06","77","33","87",,"62.8","74.7","51.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1940-07","240","37","94","150","65.3","76.5","54.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1940-08","264","34","89","344","59.5","66.1","53.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1940-09",,"27",,,,,"43.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1940-10",,"16",,,,,"29.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1940-11",,"16","65",,"37.5","45.1","29.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1940-12",,"-6","59",,"32.2","41.6","22.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1941-01","0","-5","46",,"24.3","32.0","16.5"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1941-02","0","-13","50",,"20.4","32.6","8.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1941-03","0","-2","55",,"25.4","37.4","13.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1941-04","3","21","85",,"49.7","67.9","31.5"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1941-05","31","24","89",,"55.9","73.4","38.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1941-06","92","33","92",,"64.6","78.7","50.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1941-07","257","40","94","41","69.0","83.4","54.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1941-08","299","34","88","154","62.7","79.4","45.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1941-09","339","30","91","322","60.7","78.7","42.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1941-10","360","22","87","736","52.3","65.2","39.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1941-11","360","10","70","1513","39.1","51.3","26.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1941-12","360","5","68","2453","33.7","41.8","25.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1942-01","0","-22","53","3715","24.3","33.1","15.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1942-02","0","-6","49","4921","21.9","29.5","14.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1942-03","0","18","67","5815","36.2","45.5","26.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1942-04","0","23","85","6292","49.1","62.2","35.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1942-05","35","28","87","6537","58.2","70.6","45.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1942-06","116","43","87","6606","65.4","77.1","53.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1942-07","242","40","93","45","67.6","80.6","54.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1942-08","331","35","88","97","66.2","77.6","54.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1942-09","389","26","88","313","59.7","72.6","46.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1942-10","389","24","73","763","50.5","62.3","38.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1942-11","389","9","69","1574","38.0","48.0","27.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1942-12","389","-13","43","2823","24.7","30.5","18.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1943-01","0","2","56","4030","26.1","33.1","19.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1943-02","0","-14","62","5130","25.7","36.6","14.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1943-03","0","-5","76","6113","33.3","45.0","21.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1943-04","0","14","72","6903","38.7","50.9","26.5"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1943-05","15","26","85","7163","57.1","68.0","46.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1943-06","168","40","91","7186","69.4","81.6","57.2"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1943-07","314","38","86","15","69.2","80.9","57.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1943-08","400","41","91","63","66.2","79.5","52.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1943-09","446","26","92","336","57.5","72.9","42.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1943-10","446","24","78","918","46.2","58.4","34.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1943-11","446","15","69","1817","35.1","44.2","25.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1943-12","446","-15","54","3057","25.0","33.4","16.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1944-01","0","7","58","4189","28.5","36.7","20.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1944-02","0","-3","53","5343","25.2","35.4","14.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1944-03","0","6","68","6380","31.5","41.1","22.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1944-04","0","15","75","7055","42.5","54.2","30.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1944-05","50","39","87","7144","63.7","77.9","49.5"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1944-06","161","34","92","7199","66.9","79.7","54.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1944-07","297","44","91","15","68.9","83.3","54.5"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1944-08","460","38","94","82","68.1","82.5","53.7"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1944-09","483","30","84","268","59.6","70.7","48.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1944-10","489","20","80","807","47.8","60.6","35.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1944-11","489","18","70","1558","40.0","47.7","32.2"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1944-12","489","-19","49","2858","23.1","31.5","14.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1945-01","0","-11","37","4358","16.6","26.0","7.2"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1945-02","0","-7","52","5449","26.1","34.9","17.2"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1945-03","0","17","81","6073","44.9","57.9","31.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1945-04","0","25","81","6550","49.1","61.9","36.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1945-05","1","22","83","6971","51.4","64.0","38.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1945-06","91","31","90","7107","63.5","75.7","51.2"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1945-07","248","37","90","32","69.0","80.9","57.2"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1945-08","339","36","89","76","66.5","80.0","53.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1945-09","411","36","86","204","63.1","73.9","52.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1945-10","412","24","79","743","47.7","59.4","35.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1945-11","412","16","71","1527","38.8","47.3","30.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1945-12","412","-17","49","2828","23.0","30.2","15.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1946-01","0","-14","64","4018","26.6","36.0","17.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1946-02","0","1","57","5073","27.3","36.4","18.2"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1946-03","0","17","78","5702","44.7","58.3","31.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1946-04","0","18","80","6319","44.4","58.1","30.7"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1946-05","7","29","80","6615","55.7","66.6","44.7"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1946-06","73","33","88","6740","63.1","75.6","50.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1946-07","189","40","90","38","67.5","81.3","53.7"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1946-08","240","39","85","153","62.9","74.8","51.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1946-09","274","34","89","293","61.5","76.9","46.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1946-10","274","29","83","662","53.1","66.6","39.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1946-11","274","18","75","1353","42.0","52.9","31.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1946-12","274","5","59","2389","31.6","40.7","22.5"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1947-09",,"26","86",,"61.6","74.0","49.1"
