"STATION","NAME","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1950-06","50","34","89","6509","62.7","76.5","48.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1950-07","97","43","86","42","65.2","77.6","52.7"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1950-08","185","38","87","114","65.5","78.3","52.7"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1950-09","209","33","84","341","58.2","69.6","46.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1950-10","209","25","80","735","52.3","65.8","38.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1950-11","213","4","79","1611","35.9","44.5","27.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1950-12","213","-18","58","2901","23.4","31.5","15.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1951-01","0","5","64","4018","29.0","37.1","20.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1951-02","0","-5","66","5037","28.6","37.2","20.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1951-03","0","10","65","5947","35.6","45.7","25.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1951-04","1","23","79","6544","45.2","56.4","34.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1951-05","8","29","85","6785","57.4","71.4","43.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1951-06","74","42","86","6848","65.1","77.3","53.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1951-07","206","40","88","24","68.4","81.9","55.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1951-08","297","37","92","86","65.9","81.0","50.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1951-09","323","28","88","307","58.5","73.3","43.7"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1951-10","325","23","85","730","51.4","65.5","37.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1951-11","325","2","63","1715","32.2","41.2","23.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1951-12","325","-19","65","2831","29.0","38.4","19.5"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1952-01","0","-3","63","3933","29.5","38.4","20.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1952-02","0","5","51","4943","30.2","38.3","22.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1952-03","0","8","68","5919","33.5","42.8","24.2"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1952-04","0","25","81","6456","47.1","59.2","35.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1952-05","0","26","78","6819","53.3","65.7","41.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1952-06","117","35","96","6897","66.3","80.6","52.0"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1952-07","317","39","95","8","71.2","86.0","56.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1952-08","419","36","88","44","67.2","80.9","53.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1952-09","464","30","95","250","59.6","76.4","42.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1952-10","464","15","82","884","44.6","57.2","31.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1952-11","464","8","68","1633","40.0","50.3","29.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1952-12","464","1","60","2680","31.2","37.8","24.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1953-01","0","9","59","3708","31.8","39.5","24.2"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1953-02","0","3","62","4667","30.8","39.9","21.6"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1953-03","0","13","65","5515","37.6","46.4","28.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1953-04","0","20","74","6159","43.5","53.6","33.5"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1953-05","5","31","87","6350","59.0","71.2","46.8"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1953-06","108","34","96","6423","66.0","80.0","51.9"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1953-07","243","40","94","37","68.2","82.9","53.4"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1953-08","335","39","94","79","66.6","80.9","52.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1953-09","388","30","95","296","59.5","73.9","45.1"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1953-10","388","23","81","753","50.3","66.3","34.3"
"USW00014741","BROOKVILLE FAA AIRPORT, PA US","1953-11","388","17","70","1503","40.0","50.4","29.5"
