n_guests,guest_number,count,probability_last,mean_number_passes
12,6,90843,0.090843,75.96314520656517
12,7,91028,0.091028,75.06384848618008
12,8,90883,0.090883,71.92033713675825
12,9,90861,0.090861,67.19420873642157
12,10,90677,0.090677,59.895210472335876
12,11,91021,0.091021,50.94886894233199
13,1,83471,0.083471,59.65458662289897
13,2,83271,0.083271,69.46074863998271
13,3,83692,0.083692,77.6746522965158
13,4,82900,0.0829,83.72895054282267
13,5,83231,0.083231,87.55288294025063
13,6,83561,0.083561,89.42462392743026
13,7,83132,0.083132,89.58361401145167
13,8,83198,0.083198,88.02235630664198
13,9,83570,0.08357,83.4757089864784
13,10,83511,0.083511,77.42445905329836
13,11,83067,0.083067,69.8634355399858
13,12,83396,0.083396,59.56289270468608
14,1,77440,0.07744,69.01172520661157
14,2,76792,0.076792,79.87292947181999
14,3,76542,0.076542,89.09176661179484
14,4,77102,0.077102,96.0671059116495
14,5,77129,0.077129,100.80495014845259
14,6,76637,0.076637,103.80696008455446
14,7,76702,0.076702,104.93476050168184
14,8,76594,0.076594,103.973940517534
14,9,77464,0.077464,100.89744913766394
14,10,76976,0.076976,96.17010496778217
14,11,76765,0.076765,88.65744805575457
14,12,77250,0.07725,79.74348220064725
14,13,76607,0.076607,68.91428981685746
15,1,71531,0.071531,78.9092281668088
15,2,71729,0.071729,90.99266684325725
15,3,71508,0.071508,100.79212116126867
15,4,71262,0.071262,109.12275827229098
15,5,71490,0.07149,114.92979437683591
15,6,71556,0.071556,118.82679300128571
15,7,71229,0.071229,120.72504176669615
15,8,71148,0.071148,121.02163096643616
15,9,71186,0.071186,118.7728064507066
15,10,71437,0.071437,115.07497515293196
15,11,71501,0.071501,108.97641991021105
15,12,71518,0.071518,100.51353505411225
15,13,71557,0.071557,91.10822141789063
15,14,71348,0.071348,79.05223692324942
16,1,66628,0.066628,89.44467791318965
16,2,66749,0.066749,102.57531948044165
16,3,66973,0.066973,113.63007480626521
16,4,66617,0.066617,122.81825960340454
16,5,66543,0.066543,129.56321476338607
16,6,66556,0.066556,134.98933229160406
16,7,66749,0.066749,137.64564263135028
16,8,66675,0.066675,138.35254593175853
16,9,66584,0.066584,137.9158356361889
16,10,65904,0.065904,134.700018208303
16,11,66728,0.066728,129.43675818247212
16,12,66882,0.066882,122.59995215454083
16,13,66782,0.066782,113.94088227366656
16,14,66847,0.066847,102.49620775801458
16,15,66783,0.066783,89.43843493104532
17,1,62672,0.062672,100.8107767424049
17,2,62863,0.062863,115.11313491242862
17,3,62641,0.062641,126.52780128031162
17,4,62487,0.062487,137.0666698673324
17,5,62415,0.062415,144.79802931987504
17,6,62216,0.062216,151.21190690497622
17,7,62803,0.062803,154.72393038549114
17,8,62444,0.062444,157.74975978476715
17,9,62546,0.062546,157.01242285677742
17,10,62193,0.062193,154.8633125914492
17,11,62586,0.062586,150.70862493209344
17,12,62188,0.062188,145.26746317617545
17,13,62556,0.062556,137.02901400345291
17,14,62688,0.062688,126.71425153139357
17,15,62404,0.062404,114.84068328953272
17,16,62298,0.062298,100.58818902693505
18,1,58882,0.058882,112.8565605787847
18,2,59162,0.059162,127.69108549406714
18,3,58651,0.058651,140.87713764471195
18,4,58821,0.058821,151.83648696893965
18,5,58856,0.058856,160.53863667255675
18,6,59079,0.059079,168.3594509047208
18,7,58600,0.0586,173.25757679180887
18,8,59002,0.059002,175.7477373648351
18,9,58973,0.058973,176.56322384820172
18,10,59120,0.05912,176.4215155615697
18,11,58881,0.058881,173.28528727433297
18,12,58602,0.058602,167.97317497696324
18,13,58961,0.058961,160.4998388765455
18,14,58027,0.058027,151.95608940665554
18,15,58598,0.058598,140.38458650465887
18,16,58869,0.058869,127.82027892439145
18,17,58916,0.058916,113.1274017244891
19,1,55452,0.055452,125.15712688451273
19,2,55681,0.055681,142.29446310231498
19,3,55365,0.055365,155.2098076402059
19,4,55163,0.055163,167.64169823976215
