,n_guests,guest_number,count,probability_last_sim,mean_number_passes_sim,probability_last_theory,mean_number_passes_theory,mean_number_passes_pct_error,probability_last_pct_error
123,17,4,62487,0.062487,137.0666698673324,0.06249999999999994,137.00000000000006,-0.00048664136738940655,0.00020799999999898677
124,17,5,62415,0.062415,144.79802931987504,0.06249999999999994,145.0,0.001392901242241118,0.0013599999999990287
125,17,6,62216,0.062216,151.21190690497622,0.06249999999999994,151.0,-0.0014033569865974371,0.004543999999998993
126,17,7,62803,0.062803,154.72393038549114,0.06249999999999994,155.0,0.0017810942871538948,-0.004848000000001074
127,17,8,62444,0.062444,157.74975978476715,0.06249999999999994,157.0,-0.004775540030363956,0.0008959999999990087
128,17,9,62546,0.062546,157.01242285677742,0.06249999999999994,157.00000000000003,-7.91264762891597e-05,-0.0007360000000011802
129,17,10,62193,0.062193,154.8633125914492,0.06249999999999994,155.0,0.0008818542487148973,0.004911999999999028
130,17,11,62586,0.062586,150.70862493209344,0.06249999999999994,151.0,0.0019296362113017107,-0.001376000000001154
131,17,12,62188,0.062188,145.26746317617545,0.06249999999999994,145.00000000000003,-0.0018445736287959758,0.004991999999998997
132,17,13,62556,0.062556,137.02901400345291,0.06249999999999994,137.0,-0.00021178104710162238,-0.0008960000000011181
133,17,14,62688,0.062688,126.71425153139357,0.06249999999999994,127.0,0.0022499879417828827,-0.00300800000000101
134,17,15,62404,0.062404,114.84068328953272,0.06249999999999994,115.0,0.0013853626997154533,0.0015359999999989826
135,17,16,62298,0.062298,100.58818902693505,0.06249999999999994,101.0,0.0040773363669796,0.0032319999999990134
136,18,1,58882,0.058882,112.8565605787847,0.05882352941176465,113.0,0.001269375408984974,-0.0009940000000008276
137,18,2,59162,0.059162,127.69108549406714,0.05882352941176465,128.0,0.0024133945776004806,-0.005754000000000925
138,18,3,58651,0.058651,140.87713764471195,0.058823529411764636,141.0,0.0008713642219010387,0.002932999999998742
139,18,4,58821,0.058821,151.83648696893965,0.058823529411764636,152.0,0.0010757436253969743,4.2999999998794e-05
140,18,5,58856,0.058856,160.53863667255675,0.05882352941176465,161.00000000000003,0.002865610729461343,-0.0005520000000009961
141,18,6,59079,0.059079,168.3594509047208,0.05882352941176465,168.00000000000003,-0.002139588718576002,-0.004343000000000874
142,18,7,58600,0.0586,173.25757679180887,0.058823529411764636,173.00000000000009,-0.0014888831896462396,0.0037999999999988043
